model_0,model_1,model_2,model_3
0.9097575545310974,0.9114811420440674,0.3115834891796112,0.25249311327934265
0.2999021112918854,0.5527019500732422,0.907595157623291,0.9588027000427246
0.011014965362846851,0.2651215195655823,0.9805579781532288,0.9982031583786011
0.9748861789703369,0.9686272144317627,0.9862146973609924,0.9840839505195618
0.4173736274242401,0.2608478367328644,0.46043631434440613,0.45563310384750366
0.6783317923545837,0.5630691051483154,0.5575720071792603,0.48975300788879395
0.9807103276252747,0.938072681427002,0.9890943169593811,0.9876169562339783
0.9878347516059875,0.9776839017868042,0.9943349361419678,0.99800044298172
0.5750449299812317,0.5858187079429626,0.6904770731925964,0.8220786452293396
0.9369350075721741,0.90816730260849,0.8670069575309753,0.792610228061676
0.6277250647544861,0.890516996383667,0.9373337030410767,0.9527063369750977
0.7106720805168152,0.5711755752563477,0.9400001168251038,0.9703807830810547
0.08899959921836853,0.08997099846601486,0.04249343276023865,0.07802026718854904
0.9737403988838196,0.9409970045089722,0.9819765090942383,0.9811773300170898
0.9711126685142517,0.689039945602417,0.9885177612304688,0.9994932413101196
0.998838484287262,0.9669088125228882,0.999038815498352,0.9997594952583313
0.9694216251373291,0.9551858305931091,0.9866006970405579,0.9848870635032654
0.9918004870414734,0.9790204167366028,0.9842672944068909,0.9954513907432556
0.4626128673553467,0.5690715909004211,0.9600638747215271,0.9207980036735535
0.9936983585357666,0.9888618588447571,0.9988725781440735,0.9996830224990845
0.6658698320388794,0.36808547377586365,0.284995436668396,0.32507625222206116
0.9933144450187683,0.9699975848197937,0.9983808994293213,0.9995145797729492
0.9737875461578369,0.9510395526885986,0.980521559715271,0.9863988161087036
0.19246087968349457,0.5565357804298401,0.6341604590415955,0.14165471494197845
0.9911916851997375,0.9877075552940369,0.9942613840103149,0.9970535039901733
0.59213787317276,0.9203066229820251,0.9940029978752136,0.9987187385559082
0.6538414359092712,0.6933850049972534,0.8087906241416931,0.9761528968811035
0.9679710268974304,0.950817346572876,0.961331307888031,0.9806830883026123
0.9937053322792053,0.9920439720153809,0.9809926152229309,0.9976492524147034
0.9979643821716309,0.9881453514099121,0.9989216327667236,0.9997584223747253
0.9799107313156128,0.8356919288635254,0.997329592704773,0.9996696710586548
0.8301783204078674,0.6929718255996704,0.7771949172019958,0.8426743149757385
0.9071443676948547,0.95924311876297,0.9790762662887573,0.9888361096382141
0.9707257151603699,0.9594695568084717,0.9681531190872192,0.9919753670692444
0.9906730055809021,0.9733080267906189,0.9912288188934326,0.9958297610282898
0.9968798160552979,0.9978394508361816,0.9989571571350098,0.9996976852416992
0.5692104697227478,0.403727650642395,0.3695811927318573,0.672062873840332
0.6680986285209656,0.8391825556755066,0.6422356963157654,0.9387795925140381
0.9207145571708679,0.8099478483200073,0.995594322681427,0.9993977546691895
0.9804977178573608,0.9772593975067139,0.9863365888595581,0.9815521836280823
0.9615625143051147,0.8598663806915283,0.8953020572662354,0.9566605091094971
0.9200140237808228,0.700880765914917,0.9593273997306824,0.9973981380462646
0.676638126373291,0.583241879940033,0.9819195866584778,0.9557201266288757
